symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOG,2021-03-12 00:00:00+00:00,2061.92,2090.26,2047.55,2085.0,1725794,2061.92,2090.26,2047.55,2085.0,1725794,0.0,1.0
GOOG,2021-03-15 00:00:00+00:00,2066.49,2067.06,2043.51,2062.3,1298325,2066.49,2067.06,2043.51,2062.3,1298325,0.0,1.0
GOOG,2021-03-16 00:00:00+00:00,2092.52,2123.56,2070.0,2078.99,1491564,2092.52,2123.56,2070.0,2078.99,1491564,0.0,1.0
GOOG,2021-03-17 00:00:00+00:00,2091.08,2109.78,2054.0,2076.03,1299016,2091.08,2109.78,2054.0,2076.03,1299016,0.0,1.0
GOOG,2021-03-18 00:00:00+00:00,2036.22,2075.5,2033.55,2061.0,1362430,2036.22,2075.5,2033.55,2061.0,1362430,0.0,1.0
GOOG,2021-03-19 00:00:00+00:00,2043.2,2053.1,2017.68,2042.05,2314893,2043.2,2053.1,2017.68,2042.05,2314893,0.0,1.0
GOOG,2021-03-22 00:00:00+00:00,2038.59,2057.99,2026.07,2041.84,1954816,2038.59,2057.99,2026.07,2041.84,1954816,0.0,1.0
GOOG,2021-03-23 00:00:00+00:00,2052.96,2072.3025,2039.22,2051.7,1366997,2052.96,2072.3025,2039.22,2051.7,1366997,0.0,1.0
GOOG,2021-03-24 00:00:00+00:00,2045.06,2078.21,2041.555,2065.37,1154029,2045.06,2078.21,2041.555,2065.37,1154029,0.0,1.0
GOOG,2021-03-25 00:00:00+00:00,2044.36,2058.87,2010.73,2044.81,1418907,2044.36,2058.87,2010.73,2044.81,1418907,0.0,1.0
GOOG,2021-03-26 00:00:00+00:00,2035.55,2050.99,2014.0201,2038.86,1493800,2035.55,2050.99,2014.0201,2038.86,1493800,0.0,1.0
GOOG,2021-03-29 00:00:00+00:00,2055.95,2058.43,2015.62,2027.88,1229777,2055.95,2058.43,2015.62,2027.88,1229777,0.0,1.0
GOOG,2021-03-30 00:00:00+00:00,2055.54,2070.78,2044.03,2057.63,1036774,2055.54,2070.78,2044.03,2057.63,1036774,0.0,1.0
GOOG,2021-03-31 00:00:00+00:00,2068.63,2093.3273,2056.745,2059.12,1459930,2068.63,2093.3273,2056.745,2059.12,1459930,0.0,1.0
GOOG,2021-04-01 00:00:00+00:00,2137.75,2142.94,2096.89,2097.95,1698978,2137.75,2142.94,2096.89,2097.95,1698978,0.0,1.0
GOOG,2021-04-05 00:00:00+00:00,2225.55,2237.31,2151.62,2152.94,2164875,2225.55,2237.31,2151.62,2152.94,2164875,0.0,1.0
GOOG,2021-04-06 00:00:00+00:00,2224.75,2237.66,2214.8,2222.5,1353036,2224.75,2237.66,2214.8,2222.5,1353036,0.0,1.0
GOOG,2021-04-07 00:00:00+00:00,2249.68,2255.0,2225.3303,2226.13,1289861,2249.68,2255.0,2225.3303,2226.13,1289861,0.0,1.0
GOOG,2021-04-08 00:00:00+00:00,2265.44,2284.005,2257.68,2277.96,1358259,2265.44,2284.005,2257.68,2277.96,1358259,0.0,1.0
GOOG,2021-04-09 00:00:00+00:00,2285.88,2289.04,2253.7139,2256.7,1044365,2285.88,2289.04,2253.7139,2256.7,1044365,0.0,1.0
GOOG,2021-04-12 00:00:00+00:00,2254.79,2275.32,2238.465,2266.25,1565851,2254.79,2275.32,2238.465,2266.25,1565851,0.0,1.0
GOOG,2021-04-13 00:00:00+00:00,2267.27,2277.21,2256.09,2261.47,1165804,2267.27,2277.21,2256.09,2261.47,1165804,0.0,1.0
GOOG,2021-04-14 00:00:00+00:00,2254.84,2277.99,2249.19,2275.16,1010967,2254.84,2277.99,2249.19,2275.16,1010967,0.0,1.0
GOOG,2021-04-15 00:00:00+00:00,2296.66,2306.5965,2266.0,2276.98,1373612,2296.66,2306.5965,2266.0,2276.98,1373612,0.0,1.0
GOOG,2021-04-16 00:00:00+00:00,2297.76,2306.44,2284.45,2303.0,1130090,2297.76,2306.44,2284.45,2303.0,1130090,0.0,1.0
GOOG,2021-04-19 00:00:00+00:00,2302.4,2318.45,2287.845,2291.98,1234445,2302.4,2318.45,2287.845,2291.98,1234445,0.0,1.0
GOOG,2021-04-20 00:00:00+00:00,2293.63,2309.6,2271.71,2307.89,1088749,2293.63,2309.6,2271.71,2307.89,1088749,0.0,1.0
GOOG,2021-04-21 00:00:00+00:00,2293.29,2295.32,2258.57,2285.25,1196731,2293.29,2295.32,2258.57,2285.25,1196731,0.0,1.0
GOOG,2021-04-22 00:00:00+00:00,2267.92,2303.7621,2256.45,2293.23,1054808,2267.92,2303.7621,2256.45,2293.23,1054808,0.0,1.0
GOOG,2021-04-23 00:00:00+00:00,2315.3,2325.82,2278.21,2283.47,1435162,2315.3,2325.82,2278.21,2283.47,1435162,0.0,1.0
GOOG,2021-04-26 00:00:00+00:00,2326.74,2341.26,2313.84,2319.93,1041650,2326.74,2341.26,2313.84,2319.93,1041650,0.0,1.0
GOOG,2021-04-27 00:00:00+00:00,2307.12,2337.45,2304.27,2336.0,1598583,2307.12,2337.45,2304.27,2336.0,1598583,0.0,1.0
GOOG,2021-04-28 00:00:00+00:00,2379.91,2452.378,2374.85,2407.145,2986439,2379.91,2452.378,2374.85,2407.145,2986439,0.0,1.0
GOOG,2021-04-29 00:00:00+00:00,2429.89,2436.52,2402.28,2410.33,1977677,2429.89,2436.52,2402.28,2410.33,1977677,0.0,1.0
GOOG,2021-04-30 00:00:00+00:00,2410.12,2427.14,2402.16,2404.49,1957130,2410.12,2427.14,2402.16,2404.49,1957130,0.0,1.0
GOOG,2021-05-03 00:00:00+00:00,2395.17,2419.7,2384.5,2402.72,1689389,2395.17,2419.7,2384.5,2402.72,1689389,0.0,1.0
GOOG,2021-05-04 00:00:00+00:00,2354.25,2379.26,2311.7,2369.74,1756015,2354.25,2379.26,2311.7,2369.74,1756015,0.0,1.0
GOOG,2021-05-05 00:00:00+00:00,2356.74,2382.2,2351.41,2368.42,1090275,2356.74,2382.2,2351.41,2368.42,1090275,0.0,1.0
GOOG,2021-05-06 00:00:00+00:00,2381.35,2382.71,2342.3382,2350.64,1030859,2381.35,2382.71,2342.3382,2350.64,1030859,0.0,1.0
GOOG,2021-05-07 00:00:00+00:00,2398.69,2416.41,2390.0,2400.0,1163892,2398.69,2416.41,2390.0,2400.0,1163892,0.0,1.0
GOOG,2021-05-10 00:00:00+00:00,2341.66,2378.0,2334.73,2374.89,1300271,2341.66,2378.0,2334.73,2374.89,1300271,0.0,1.0
GOOG,2021-05-11 00:00:00+00:00,2308.76,2322.0,2283.0,2291.86,1605548,2308.76,2322.0,2283.0,2291.86,1605548,0.0,1.0
GOOG,2021-05-12 00:00:00+00:00,2239.08,2285.37,2230.05,2261.71,1746664,2239.08,2285.37,2230.05,2261.71,1746664,0.0,1.0
GOOG,2021-05-13 00:00:00+00:00,2261.97,2276.6012,2242.72,2261.09,1333508,2261.97,2276.6012,2242.72,2261.09,1333508,0.0,1.0
GOOG,2021-05-14 00:00:00+00:00,2316.16,2321.14,2283.32,2291.83,1331248,2316.16,2321.14,2283.32,2291.83,1331248,0.0,1.0
GOOG,2021-05-17 00:00:00+00:00,2321.41,2323.34,2295.0,2309.32,992416,2321.41,2323.34,2295.0,2309.32,992416,0.0,1.0
GOOG,2021-05-18 00:00:00+00:00,2303.43,2343.15,2303.16,2336.9056,865119,2303.43,2343.15,2303.16,2336.9056,865119,0.0,1.0
GOOG,2021-05-19 00:00:00+00:00,2308.71,2316.76,2263.52,2264.4,967544,2308.71,2316.76,2263.52,2264.4,967544,0.0,1.0
GOOG,2021-05-20 00:00:00+00:00,2356.09,2360.34,2321.09,2328.04,1191593,2356.09,2360.34,2321.09,2328.04,1191593,0.0,1.0
GOOG,2021-05-21 00:00:00+00:00,2345.1,2368.9999,2342.37,2365.99,1141632,2345.1,2368.9999,2342.37,2365.99,1141632,0.0,1.0
GOOG,2021-05-24 00:00:00+00:00,2406.67,2418.48,2360.11,2367.0,1062189,2406.67,2418.48,2360.11,2367.0,1062189,0.0,1.0
GOOG,2021-05-25 00:00:00+00:00,2409.07,2432.89,2402.99,2420.0,941928,2409.07,2432.89,2402.99,2420.0,941928,0.0,1.0
GOOG,2021-05-26 00:00:00+00:00,2433.53,2442.944,2412.515,2412.835,1092819,2433.53,2442.944,2412.515,2412.835,1092819,0.0,1.0
GOOG,2021-05-27 00:00:00+00:00,2402.51,2440.0,2402.0,2436.94,1948113,2402.51,2440.0,2402.0,2436.94,1948113,0.0,1.0
GOOG,2021-05-28 00:00:00+00:00,2411.56,2428.14,2407.69,2421.96,1205382,2411.56,2428.14,2407.69,2421.96,1205382,0.0,1.0
GOOG,2021-06-01 00:00:00+00:00,2429.81,2437.9709,2404.88,2422.0,958289,2429.81,2437.9709,2404.88,2422.0,958289,0.0,1.0
GOOG,2021-06-02 00:00:00+00:00,2421.28,2442.0,2404.2,2435.31,858105,2421.28,2442.0,2404.2,2435.31,858105,0.0,1.0
GOOG,2021-06-03 00:00:00+00:00,2404.61,2409.745,2382.83,2395.02,917291,2404.61,2409.745,2382.83,2395.02,917291,0.0,1.0
GOOG,2021-06-04 00:00:00+00:00,2451.76,2453.859,2417.77,2422.52,1297434,2451.76,2453.859,2417.77,2422.52,1297434,0.0,1.0
GOOG,2021-06-07 00:00:00+00:00,2466.09,2468.0,2441.0725,2451.32,1192453,2466.09,2468.0,2441.0725,2451.32,1192453,0.0,1.0
GOOG,2021-06-08 00:00:00+00:00,2482.85,2494.495,2468.24,2479.9,1253253,2482.85,2494.495,2468.24,2479.9,1253253,0.0,1.0
GOOG,2021-06-09 00:00:00+00:00,2491.4,2505.0,2487.33,2499.5,1006337,2491.4,2505.0,2487.33,2499.5,1006337,0.0,1.0
GOOG,2021-06-10 00:00:00+00:00,2521.6,2523.26,2494.0,2494.01,1561733,2521.6,2523.26,2494.0,2494.01,1561733,0.0,1.0
GOOG,2021-06-11 00:00:00+00:00,2513.93,2526.99,2498.29,2524.92,1262309,2513.93,2526.99,2498.29,2524.92,1262309,0.0,1.0
